geography_code,geography_name,cancer_code,cancer_label_en,cancer_label_pl,measure,year,standard_population,female,male,male_minus_female,male_female_ratio,source_id,source_version
ESP,Spain,MESOTHELIOMA,Mesothelioma,Międzybłoniak,incidence,2024,World standard population,0.21,0.6,0.39,2.857142857142857,iarc_globocan_2024,GLOBOCAN 2024
ESP,Spain,MESOTHELIOMA,Mesothelioma,Międzybłoniak,mortality,2024,World standard population,0.17,0.54,0.37,3.176470588235294,iarc_globocan_2024,GLOBOCAN 2024
ESP,Spain,MYELOMA,Multiple myeloma,Szpiczak mnogi,incidence,2024,World standard population,2.11,2.7,0.5900000000000003,1.2796208530805688,iarc_globocan_2024,GLOBOCAN 2024
ESP,Spain,MYELOMA,Multiple myeloma,Szpiczak mnogi,mortality,2024,World standard population,0.93,1.4,0.46999999999999986,1.5053763440860213,iarc_globocan_2024,GLOBOCAN 2024
ESP,Spain,NASOPHARYNX,Nasopharynx,Część nosowa gardła,incidence,2024,World standard population,0.3,1.03,0.73,3.4333333333333336,iarc_globocan_2024,GLOBOCAN 2024
ESP,Spain,NASOPHARYNX,Nasopharynx,Część nosowa gardła,mortality,2024,World standard population,0.08,0.37,0.29,4.625,iarc_globocan_2024,GLOBOCAN 2024
ESP,Spain,NHL,Non-Hodgkin lymphoma,Chłoniak nieziarniczy,incidence,2024,World standard population,7.62,10.91,3.29,1.431758530183727,iarc_globocan_2024,GLOBOCAN 2024
ESP,Spain,NHL,Non-Hodgkin lymphoma,Chłoniak nieziarniczy,mortality,2024,World standard population,1.54,2.76,1.2199999999999998,1.7922077922077921,iarc_globocan_2024,GLOBOCAN 2024
ESP,Spain,OESOPHAGUS,Oesophagus,Przełyk,incidence,2024,World standard population,0.59,3.67,3.08,6.220338983050848,iarc_globocan_2024,GLOBOCAN 2024
ESP,Spain,OESOPHAGUS,Oesophagus,Przełyk,mortality,2024,World standard population,0.48,3.04,2.56,6.333333333333334,iarc_globocan_2024,GLOBOCAN 2024
ESP,Spain,OROPHARYNX,Oropharynx,Część ustna gardła,incidence,2024,World standard population,0.6,2.03,1.4299999999999997,3.3833333333333333,iarc_globocan_2024,GLOBOCAN 2024
ESP,Spain,OROPHARYNX,Oropharynx,Część ustna gardła,mortality,2024,World standard population,0.19,0.93,0.74,4.894736842105264,iarc_globocan_2024,GLOBOCAN 2024
ESP,Spain,OTHER,Other specified cancers,Inne określone nowotwory,incidence,2024,World standard population,11.52,16.18,4.66,1.4045138888888888,iarc_globocan_2024,GLOBOCAN 2024
ESP,Spain,OTHER,Other specified cancers,Inne określone nowotwory,mortality,2024,World standard population,2.6,4.14,1.5399999999999996,1.5923076923076922,iarc_globocan_2024,GLOBOCAN 2024
ESP,Spain,PANCREAS,Pancreas,Trzustka,incidence,2024,World standard population,5.9,8.29,2.389999999999999,1.4050847457627116,iarc_globocan_2024,GLOBOCAN 2024
ESP,Spain,PANCREAS,Pancreas,Trzustka,mortality,2024,World standard population,5.06,7.39,2.33,1.4604743083003953,iarc_globocan_2024,GLOBOCAN 2024
ESP,Spain,SALIVARY,Salivary glands,Ślinianki,incidence,2024,World standard population,0.55,0.69,0.1399999999999999,1.2545454545454544,iarc_globocan_2024,GLOBOCAN 2024
ESP,Spain,SALIVARY,Salivary glands,Ślinianki,mortality,2024,World standard population,0.09,0.22,0.13,2.4444444444444446,iarc_globocan_2024,GLOBOCAN 2024
ESP,Spain,STOMACH,Stomach,Żołądek,incidence,2024,World standard population,4.14,7.87,3.7300000000000004,1.9009661835748795,iarc_globocan_2024,GLOBOCAN 2024
ESP,Spain,STOMACH,Stomach,Żołądek,mortality,2024,World standard population,2.37,5.17,2.8,2.181434599156118,iarc_globocan_2024,GLOBOCAN 2024
ESP,Spain,THYROID,Thyroid,Tarczyca,incidence,2024,World standard population,10.65,3.27,-7.380000000000001,0.30704225352112674,iarc_globocan_2024,GLOBOCAN 2024
ESP,Spain,THYROID,Thyroid,Tarczyca,mortality,2024,World standard population,0.25,0.26,0.010000000000000009,1.04,iarc_globocan_2024,GLOBOCAN 2024
ESP,Spain,UNSPECIFIED,Unspecified sites,Nowotwory o nieokreślonym umiejscowieniu,incidence,2024,World standard population,3.48,4.44,0.9600000000000004,1.2758620689655173,iarc_globocan_2024,GLOBOCAN 2024
ESP,Spain,UNSPECIFIED,Unspecified sites,Nowotwory o nieokreślonym umiejscowieniu,mortality,2024,World standard population,2.55,4.41,1.8600000000000003,1.7294117647058824,iarc_globocan_2024,GLOBOCAN 2024
GBR,United Kingdom,BLADDER,Bladder,Pęcherz moczowy,incidence,2024,World standard population,3.64,11.13,7.49,3.057692307692308,iarc_globocan_2024,GLOBOCAN 2024
GBR,United Kingdom,BLADDER,Bladder,Pęcherz moczowy,mortality,2024,World standard population,1.6,3.91,2.31,2.44375,iarc_globocan_2024,GLOBOCAN 2024
GBR,United Kingdom,BRAIN_CNS,"Brain, central nervous system",Mózg i ośrodkowy układ nerwowy,incidence,2024,World standard population,4.58,6.56,1.9799999999999995,1.4323144104803491,iarc_globocan_2024,GLOBOCAN 2024
GBR,United Kingdom,BRAIN_CNS,"Brain, central nervous system",Mózg i ośrodkowy układ nerwowy,mortality,2024,World standard population,2.81,4.54,1.73,1.6156583629893237,iarc_globocan_2024,GLOBOCAN 2024
GBR,United Kingdom,COLORECTUM,Colorectum,Jelito grube i odbytnica,incidence,2024,World standard population,27.9,33.85,5.950000000000003,1.21326164874552,iarc_globocan_2024,GLOBOCAN 2024
GBR,United Kingdom,COLORECTUM,Colorectum,Jelito grube i odbytnica,mortality,2024,World standard population,9.35,13.54,4.1899999999999995,1.4481283422459892,iarc_globocan_2024,GLOBOCAN 2024
GBR,United Kingdom,GALLBLADDER,Gallbladder,Pęcherzyk żółciowy,incidence,2024,World standard population,1.17,0.41,-0.76,0.3504273504273504,iarc_globocan_2024,GLOBOCAN 2024
GBR,United Kingdom,GALLBLADDER,Gallbladder,Pęcherzyk żółciowy,mortality,2024,World standard population,0.51,0.25,-0.26,0.49019607843137253,iarc_globocan_2024,GLOBOCAN 2024
GBR,United Kingdom,HODGKIN,Hodgkin lymphoma,Chłoniak Hodgkina,incidence,2024,World standard population,2.45,3.17,0.7199999999999998,1.2938775510204081,iarc_globocan_2024,GLOBOCAN 2024
GBR,United Kingdom,HODGKIN,Hodgkin lymphoma,Chłoniak Hodgkina,mortality,2024,World standard population,0.13,0.25,0.12,1.923076923076923,iarc_globocan_2024,GLOBOCAN 2024
GBR,United Kingdom,HYPOPHARYNX,Hypopharynx,Część krtaniowa gardła,incidence,2024,World standard population,0.26,1.08,0.8200000000000001,4.153846153846154,iarc_globocan_2024,GLOBOCAN 2024
GBR,United Kingdom,HYPOPHARYNX,Hypopharynx,Część krtaniowa gardła,mortality,2024,World standard population,0.13,0.45,0.32,3.4615384615384617,iarc_globocan_2024,GLOBOCAN 2024
GBR,United Kingdom,KAPOSI,Kaposi sarcoma,Mięsak Kaposiego,incidence,2024,World standard population,0.05,0.32,0.27,6.3999999999999995,iarc_globocan_2024,GLOBOCAN 2024
GBR,United Kingdom,KIDNEY,Kidney,Nerka,incidence,2024,World standard population,7.09,16.33,9.239999999999998,2.3032440056417487,iarc_globocan_2024,GLOBOCAN 2024
GBR,United Kingdom,KIDNEY,Kidney,Nerka,mortality,2024,World standard population,1.68,3.61,1.93,2.1488095238095237,iarc_globocan_2024,GLOBOCAN 2024
GBR,United Kingdom,LARYNX,Larynx,Krtań,incidence,2024,World standard population,0.7,3.2,2.5,4.571428571428572,iarc_globocan_2024,GLOBOCAN 2024
GBR,United Kingdom,LARYNX,Larynx,Krtań,mortality,2024,World standard population,0.2,0.9,0.7,4.5,iarc_globocan_2024,GLOBOCAN 2024
GBR,United Kingdom,LEUKAEMIA,Leukaemia,Białaczka,incidence,2024,World standard population,6.4,9.7,3.299999999999999,1.5156249999999998,iarc_globocan_2024,GLOBOCAN 2024
GBR,United Kingdom,LEUKAEMIA,Leukaemia,Białaczka,mortality,2024,World standard population,2.1,3.54,1.44,1.6857142857142857,iarc_globocan_2024,GLOBOCAN 2024
GBR,United Kingdom,LIP_ORAL,"Lip, oral cavity",Warga i jama ustna,incidence,2024,World standard population,2.99,6.18,3.1899999999999995,2.0668896321070234,iarc_globocan_2024,GLOBOCAN 2024
GBR,United Kingdom,LIP_ORAL,"Lip, oral cavity",Warga i jama ustna,mortality,2024,World standard population,0.64,1.57,0.93,2.453125,iarc_globocan_2024,GLOBOCAN 2024
GBR,United Kingdom,LIVER,Liver and intrahepatic bile ducts,Wątroba i wewnątrzwątrobowe drogi żółciowe,incidence,2024,World standard population,3.4,6.24,2.8400000000000003,1.835294117647059,iarc_globocan_2024,GLOBOCAN 2024
GBR,United Kingdom,LIVER,Liver and intrahepatic bile ducts,Wątroba i wewnątrzwątrobowe drogi żółciowe,mortality,2024,World standard population,2.61,5.22,2.61,2.0,iarc_globocan_2024,GLOBOCAN 2024
GBR,United Kingdom,LUNG,"Trachea, bronchus and lung","Tchawica, oskrzela i płuco",incidence,2024,World standard population,28.57,35.27,6.700000000000003,1.2345117255862794,iarc_globocan_2024,GLOBOCAN 2024
GBR,United Kingdom,LUNG,"Trachea, bronchus and lung","Tchawica, oskrzela i płuco",mortality,2024,World standard population,17.32,22.57,5.25,1.3031177829099307,iarc_globocan_2024,GLOBOCAN 2024
GBR,United Kingdom,MELANOMA,Melanoma of skin,Czerniak skóry,incidence,2024,World standard population,16.4,16.55,0.15000000000000213,1.0091463414634148,iarc_globocan_2024,GLOBOCAN 2024
GBR,United Kingdom,MELANOMA,Melanoma of skin,Czerniak skóry,mortality,2024,World standard population,1.16,1.84,0.6800000000000002,1.5862068965517244,iarc_globocan_2024,GLOBOCAN 2024
GBR,United Kingdom,MESOTHELIOMA,Mesothelioma,Międzybłoniak,incidence,2024,World standard population,0.5,2.02,1.52,4.04,iarc_globocan_2024,GLOBOCAN 2024
GBR,United Kingdom,MESOTHELIOMA,Mesothelioma,Międzybłoniak,mortality,2024,World standard population,0.39,2.04,1.65,5.230769230769231,iarc_globocan_2024,GLOBOCAN 2024
GBR,United Kingdom,MYELOMA,Multiple myeloma,Szpiczak mnogi,incidence,2024,World standard population,3.16,5.0,1.8399999999999999,1.5822784810126582,iarc_globocan_2024,GLOBOCAN 2024
GBR,United Kingdom,MYELOMA,Multiple myeloma,Szpiczak mnogi,mortality,2024,World standard population,1.26,2.07,0.8099999999999998,1.6428571428571428,iarc_globocan_2024,GLOBOCAN 2024
GBR,United Kingdom,NASOPHARYNX,Nasopharynx,Część nosowa gardła,incidence,2024,World standard population,0.17,0.38,0.21,2.235294117647059,iarc_globocan_2024,GLOBOCAN 2024
GBR,United Kingdom,NASOPHARYNX,Nasopharynx,Część nosowa gardła,mortality,2024,World standard population,0.09,0.19,0.1,2.111111111111111,iarc_globocan_2024,GLOBOCAN 2024
GBR,United Kingdom,NHL,Non-Hodgkin lymphoma,Chłoniak nieziarniczy,incidence,2024,World standard population,9.51,14.96,5.450000000000001,1.5730809674027342,iarc_globocan_2024,GLOBOCAN 2024
GBR,United Kingdom,NHL,Non-Hodgkin lymphoma,Chłoniak nieziarniczy,mortality,2024,World standard population,2.06,3.29,1.23,1.5970873786407767,iarc_globocan_2024,GLOBOCAN 2024
GBR,United Kingdom,OESOPHAGUS,Oesophagus,Przełyk,incidence,2024,World standard population,2.79,9.14,6.3500000000000005,3.2759856630824373,iarc_globocan_2024,GLOBOCAN 2024
