geography_code,measure,cancer_code,cancer_label_en,cancer_label_pl,value,rank,source_id,source_version,year
ESP,mortality,BLADDER,Bladder,Pęcherz moczowy,5933.0,7,iarc_globocan_2024,GLOBOCAN 2024,2024
ESP,mortality,UNSPECIFIED,Unspecified sites,Nowotwory o nieokreślonym umiejscowieniu,5185.0,8,iarc_globocan_2024,GLOBOCAN 2024,2024
ESP,mortality,STOMACH,Stomach,Żołądek,5113.0,9,iarc_globocan_2024,GLOBOCAN 2024,2024
ESP,mortality,OTHER,Other specified cancers,Inne określone nowotwory,4216.0,10,iarc_globocan_2024,GLOBOCAN 2024,2024
ESP,mortality,BRAIN_CNS,"Brain, central nervous system",Mózg i ośrodkowy układ nerwowy,3456.0,11,iarc_globocan_2024,GLOBOCAN 2024,2024
ESP,mortality,LEUKAEMIA,Leukaemia,Białaczka,3451.0,12,iarc_globocan_2024,GLOBOCAN 2024,2024
ESP,mortality,NHL,Non-Hodgkin lymphoma,Chłoniak nieziarniczy,3057.0,13,iarc_globocan_2024,GLOBOCAN 2024,2024
ESP,mortality,KIDNEY,Kidney,Nerka,2827.0,14,iarc_globocan_2024,GLOBOCAN 2024,2024
ESP,mortality,OVARY,Ovary,Jajnik,2263.0,15,iarc_globocan_2024,GLOBOCAN 2024,2024
ESP,mortality,OESOPHAGUS,Oesophagus,Przełyk,2002.0,16,iarc_globocan_2024,GLOBOCAN 2024,2024
ESP,mortality,MYELOMA,Multiple myeloma,Szpiczak mnogi,1910.0,17,iarc_globocan_2024,GLOBOCAN 2024,2024
ESP,mortality,CORPUS_UTERI,Corpus uteri,Trzon macicy,1669.0,18,iarc_globocan_2024,GLOBOCAN 2024,2024
ESP,mortality,LARYNX,Larynx,Krtań,1288.0,19,iarc_globocan_2024,GLOBOCAN 2024,2024
ESP,mortality,LIP_ORAL,"Lip, oral cavity",Warga i jama ustna,1283.0,20,iarc_globocan_2024,GLOBOCAN 2024,2024
ESP,mortality,MELANOMA,Melanoma of skin,Czerniak skóry,1118.0,21,iarc_globocan_2024,GLOBOCAN 2024,2024
ESP,mortality,CERVIX,Cervix uteri,Szyjka macicy,893.0,22,iarc_globocan_2024,GLOBOCAN 2024,2024
ESP,mortality,OROPHARYNX,Oropharynx,Część ustna gardła,580.0,23,iarc_globocan_2024,GLOBOCAN 2024,2024
ESP,mortality,MESOTHELIOMA,Mesothelioma,Międzybłoniak,488.0,24,iarc_globocan_2024,GLOBOCAN 2024,2024
ESP,mortality,GALLBLADDER,Gallbladder,Pęcherzyk żółciowy,432.0,25,iarc_globocan_2024,GLOBOCAN 2024,2024
ESP,mortality,VULVA,Vulva,Srom,385.0,26,iarc_globocan_2024,GLOBOCAN 2024,2024
ESP,mortality,THYROID,Thyroid,Tarczyca,383.0,27,iarc_globocan_2024,GLOBOCAN 2024,2024
ESP,mortality,HYPOPHARYNX,Hypopharynx,Część krtaniowa gardła,313.0,28,iarc_globocan_2024,GLOBOCAN 2024,2024
ESP,mortality,NASOPHARYNX,Nasopharynx,Część nosowa gardła,235.0,29,iarc_globocan_2024,GLOBOCAN 2024,2024
ESP,mortality,HODGKIN,Hodgkin lymphoma,Chłoniak Hodgkina,223.0,30,iarc_globocan_2024,GLOBOCAN 2024,2024
ESP,mortality,SALIVARY,Salivary glands,Ślinianki,218.0,31,iarc_globocan_2024,GLOBOCAN 2024,2024
ESP,mortality,PENIS,Penis,Prącie,129.0,32,iarc_globocan_2024,GLOBOCAN 2024,2024
ESP,mortality,VAGINA,Vagina,Pochwa,77.0,33,iarc_globocan_2024,GLOBOCAN 2024,2024
ESP,mortality,TESTIS,Testis,Jądro,57.0,34,iarc_globocan_2024,GLOBOCAN 2024,2024
ESP,mortality,KAPOSI,Kaposi sarcoma,Mięsak Kaposiego,31.0,35,iarc_globocan_2024,GLOBOCAN 2024,2024
GBR,incidence,BREAST,Breast,Pierś,58748.0,1,iarc_globocan_2024,GLOBOCAN 2024,2024
GBR,incidence,PROSTATE,Prostate,Gruczoł krokowy,56622.0,2,iarc_globocan_2024,GLOBOCAN 2024,2024
GBR,incidence,OTHER,Other specified cancers,Inne określone nowotwory,55711.0,3,iarc_globocan_2024,GLOBOCAN 2024,2024
GBR,incidence,LUNG,"Trachea, bronchus and lung","Tchawica, oskrzela i płuco",54541.0,4,iarc_globocan_2024,GLOBOCAN 2024,2024
GBR,incidence,COLORECTUM,Colorectum,Jelito grube i odbytnica,47318.0,5,iarc_globocan_2024,GLOBOCAN 2024,2024
GBR,incidence,MELANOMA,Melanoma of skin,Czerniak skóry,21745.0,6,iarc_globocan_2024,GLOBOCAN 2024,2024
GBR,incidence,NHL,Non-Hodgkin lymphoma,Chłoniak nieziarniczy,17331.0,7,iarc_globocan_2024,GLOBOCAN 2024,2024
GBR,incidence,KIDNEY,Kidney,Nerka,15944.0,8,iarc_globocan_2024,GLOBOCAN 2024,2024
GBR,incidence,BLADDER,Bladder,Pęcherz moczowy,13716.0,9,iarc_globocan_2024,GLOBOCAN 2024,2024
GBR,incidence,PANCREAS,Pancreas,Trzustka,11876.0,10,iarc_globocan_2024,GLOBOCAN 2024,2024
GBR,incidence,CORPUS_UTERI,Corpus uteri,Trzon macicy,11046.0,11,iarc_globocan_2024,GLOBOCAN 2024,2024
GBR,incidence,LEUKAEMIA,Leukaemia,Białaczka,10525.0,12,iarc_globocan_2024,GLOBOCAN 2024,2024
GBR,incidence,OESOPHAGUS,Oesophagus,Przełyk,9733.0,13,iarc_globocan_2024,GLOBOCAN 2024,2024
GBR,incidence,LIVER,Liver and intrahepatic bile ducts,Wątroba i wewnątrzwątrobowe drogi żółciowe,7820.0,14,iarc_globocan_2024,GLOBOCAN 2024,2024
GBR,incidence,MYELOMA,Multiple myeloma,Szpiczak mnogi,6706.0,15,iarc_globocan_2024,GLOBOCAN 2024,2024
GBR,incidence,UNSPECIFIED,Unspecified sites,Nowotwory o nieokreślonym umiejscowieniu,6559.0,16,iarc_globocan_2024,GLOBOCAN 2024,2024
GBR,incidence,OVARY,Ovary,Jajnik,6448.0,17,iarc_globocan_2024,GLOBOCAN 2024,2024
GBR,incidence,STOMACH,Stomach,Żołądek,6249.0,18,iarc_globocan_2024,GLOBOCAN 2024,2024
GBR,incidence,BRAIN_CNS,"Brain, central nervous system",Mózg i ośrodkowy układ nerwowy,6021.0,19,iarc_globocan_2024,GLOBOCAN 2024,2024
GBR,incidence,LIP_ORAL,"Lip, oral cavity",Warga i jama ustna,5839.0,20,iarc_globocan_2024,GLOBOCAN 2024,2024
GBR,incidence,THYROID,Thyroid,Tarczyca,5686.0,21,iarc_globocan_2024,GLOBOCAN 2024,2024
GBR,incidence,CERVIX,Cervix uteri,Szyjka macicy,3309.0,22,iarc_globocan_2024,GLOBOCAN 2024,2024
GBR,incidence,MESOTHELIOMA,Mesothelioma,Międzybłoniak,2873.0,23,iarc_globocan_2024,GLOBOCAN 2024,2024
GBR,incidence,LARYNX,Larynx,Krtań,2669.0,24,iarc_globocan_2024,GLOBOCAN 2024,2024
GBR,incidence,TESTIS,Testis,Jądro,2497.0,25,iarc_globocan_2024,GLOBOCAN 2024,2024
GBR,incidence,OROPHARYNX,Oropharynx,Część ustna gardła,2429.0,26,iarc_globocan_2024,GLOBOCAN 2024,2024
GBR,incidence,HODGKIN,Hodgkin lymphoma,Chłoniak Hodgkina,2321.0,27,iarc_globocan_2024,GLOBOCAN 2024,2024
GBR,incidence,VULVA,Vulva,Srom,1504.0,28,iarc_globocan_2024,GLOBOCAN 2024,2024
GBR,incidence,GALLBLADDER,Gallbladder,Pęcherzyk żółciowy,1503.0,29,iarc_globocan_2024,GLOBOCAN 2024,2024
GBR,incidence,HYPOPHARYNX,Hypopharynx,Część krtaniowa gardła,881.0,30,iarc_globocan_2024,GLOBOCAN 2024,2024
GBR,incidence,PENIS,Penis,Prącie,751.0,31,iarc_globocan_2024,GLOBOCAN 2024,2024
GBR,incidence,SALIVARY,Salivary glands,Ślinianki,737.0,32,iarc_globocan_2024,GLOBOCAN 2024,2024
GBR,incidence,NASOPHARYNX,Nasopharynx,Część nosowa gardła,283.0,33,iarc_globocan_2024,GLOBOCAN 2024,2024
GBR,incidence,VAGINA,Vagina,Pochwa,276.0,34,iarc_globocan_2024,GLOBOCAN 2024,2024
GBR,incidence,KAPOSI,Kaposi sarcoma,Mięsak Kaposiego,162.0,35,iarc_globocan_2024,GLOBOCAN 2024,2024
GBR,mortality,LUNG,"Trachea, bronchus and lung","Tchawica, oskrzela i płuco",36751.0,1,iarc_globocan_2024,GLOBOCAN 2024,2024
GBR,mortality,COLORECTUM,Colorectum,Jelito grube i odbytnica,22239.0,2,iarc_globocan_2024,GLOBOCAN 2024,2024
GBR,mortality,PROSTATE,Prostate,Gruczoł krokowy,13623.0,3,iarc_globocan_2024,GLOBOCAN 2024,2024
GBR,mortality,BREAST,Breast,Pierś,12425.0,4,iarc_globocan_2024,GLOBOCAN 2024,2024
GBR,mortality,UNSPECIFIED,Unspecified sites,Nowotwory o nieokreślonym umiejscowieniu,11350.0,5,iarc_globocan_2024,GLOBOCAN 2024,2024
GBR,mortality,PANCREAS,Pancreas,Trzustka,10932.0,6,iarc_globocan_2024,GLOBOCAN 2024,2024
GBR,mortality,OESOPHAGUS,Oesophagus,Przełyk,8853.0,7,iarc_globocan_2024,GLOBOCAN 2024,2024
GBR,mortality,LIVER,Liver and intrahepatic bile ducts,Wątroba i wewnątrzwątrobowe drogi żółciowe,6976.0,8,iarc_globocan_2024,GLOBOCAN 2024,2024
GBR,mortality,BLADDER,Bladder,Pęcherz moczowy,6389.0,9,iarc_globocan_2024,GLOBOCAN 2024,2024
GBR,mortality,OTHER,Other specified cancers,Inne określone nowotwory,5753.0,10,iarc_globocan_2024,GLOBOCAN 2024,2024
GBR,mortality,NHL,Non-Hodgkin lymphoma,Chłoniak nieziarniczy,5296.0,11,iarc_globocan_2024,GLOBOCAN 2024,2024
GBR,mortality,LEUKAEMIA,Leukaemia,Białaczka,5264.0,12,iarc_globocan_2024,GLOBOCAN 2024,2024
GBR,mortality,BRAIN_CNS,"Brain, central nervous system",Mózg i ośrodkowy układ nerwowy,4732.0,13,iarc_globocan_2024,GLOBOCAN 2024,2024
GBR,mortality,KIDNEY,Kidney,Nerka,4715.0,14,iarc_globocan_2024,GLOBOCAN 2024,2024
GBR,mortality,STOMACH,Stomach,Żołądek,4416.0,15,iarc_globocan_2024,GLOBOCAN 2024,2024
GBR,mortality,OVARY,Ovary,Jajnik,4362.0,16,iarc_globocan_2024,GLOBOCAN 2024,2024
GBR,mortality,MYELOMA,Multiple myeloma,Szpiczak mnogi,3504.0,17,iarc_globocan_2024,GLOBOCAN 2024,2024
GBR,mortality,CORPUS_UTERI,Corpus uteri,Trzon macicy,2700.0,18,iarc_globocan_2024,GLOBOCAN 2024,2024
GBR,mortality,MELANOMA,Melanoma of skin,Czerniak skóry,2590.0,19,iarc_globocan_2024,GLOBOCAN 2024,2024
GBR,mortality,MESOTHELIOMA,Mesothelioma,Międzybłoniak,2552.0,20,iarc_globocan_2024,GLOBOCAN 2024,2024
GBR,mortality,LIP_ORAL,"Lip, oral cavity",Warga i jama ustna,1699.0,21,iarc_globocan_2024,GLOBOCAN 2024,2024
GBR,mortality,CERVIX,Cervix uteri,Szyjka macicy,1107.0,22,iarc_globocan_2024,GLOBOCAN 2024,2024
GBR,mortality,OROPHARYNX,Oropharynx,Część ustna gardła,1018.0,23,iarc_globocan_2024,GLOBOCAN 2024,2024
GBR,mortality,LARYNX,Larynx,Krtań,913.0,24,iarc_globocan_2024,GLOBOCAN 2024,2024
GBR,mortality,GALLBLADDER,Gallbladder,Pęcherzyk żółciowy,784.0,25,iarc_globocan_2024,GLOBOCAN 2024,2024
GBR,mortality,VULVA,Vulva,Srom,547.0,26,iarc_globocan_2024,GLOBOCAN 2024,2024
GBR,mortality,HYPOPHARYNX,Hypopharynx,Część krtaniowa gardła,450.0,27,iarc_globocan_2024,GLOBOCAN 2024,2024
GBR,mortality,THYROID,Thyroid,Tarczyca,439.0,28,iarc_globocan_2024,GLOBOCAN 2024,2024
GBR,mortality,HODGKIN,Hodgkin lymphoma,Chłoniak Hodgkina,327.0,29,iarc_globocan_2024,GLOBOCAN 2024,2024
GBR,mortality,SALIVARY,Salivary glands,Ślinianki,311.0,30,iarc_globocan_2024,GLOBOCAN 2024,2024
GBR,mortality,NASOPHARYNX,Nasopharynx,Część nosowa gardła,194.0,31,iarc_globocan_2024,GLOBOCAN 2024,2024
GBR,mortality,PENIS,Penis,Prącie,179.0,32,iarc_globocan_2024,GLOBOCAN 2024,2024
GBR,mortality,VAGINA,Vagina,Pochwa,137.0,33,iarc_globocan_2024,GLOBOCAN 2024,2024
GBR,mortality,TESTIS,Testis,Jądro,74.0,34,iarc_globocan_2024,GLOBOCAN 2024,2024
GBR,mortality,KAPOSI,Kaposi sarcoma,Mięsak Kaposiego,6.0,35,iarc_globocan_2024,GLOBOCAN 2024,2024
POL,incidence,LUNG,"Trachea, bronchus and lung","Tchawica, oskrzela i płuco",30350.0,1,iarc_globocan_2024,GLOBOCAN 2024,2024
POL,incidence,COLORECTUM,Colorectum,Jelito grube i odbytnica,26463.0,2,iarc_globocan_2024,GLOBOCAN 2024,2024
POL,incidence,BREAST,Breast,Pierś,23238.0,3,iarc_globocan_2024,GLOBOCAN 2024,2024
POL,incidence,PROSTATE,Prostate,Gruczoł krokowy,22429.0,4,iarc_globocan_2024,GLOBOCAN 2024,2024
POL,incidence,OTHER,Other specified cancers,Inne określone nowotwory,11771.0,5,iarc_globocan_2024,GLOBOCAN 2024,2024
POL,incidence,BLADDER,Bladder,Pęcherz moczowy,10527.0,6,iarc_globocan_2024,GLOBOCAN 2024,2024
POL,incidence,CORPUS_UTERI,Corpus uteri,Trzon macicy,7704.0,7,iarc_globocan_2024,GLOBOCAN 2024,2024
POL,incidence,STOMACH,Stomach,Żołądek,7078.0,8,iarc_globocan_2024,GLOBOCAN 2024,2024
POL,incidence,PANCREAS,Pancreas,Trzustka,6003.0,9,iarc_globocan_2024,GLOBOCAN 2024,2024
POL,incidence,KIDNEY,Kidney,Nerka,5760.0,10,iarc_globocan_2024,GLOBOCAN 2024,2024
POL,incidence,LEUKAEMIA,Leukaemia,Białaczka,5038.0,11,iarc_globocan_2024,GLOBOCAN 2024,2024
POL,incidence,OVARY,Ovary,Jajnik,4820.0,12,iarc_globocan_2024,GLOBOCAN 2024,2024
POL,incidence,NHL,Non-Hodgkin lymphoma,Chłoniak nieziarniczy,4145.0,13,iarc_globocan_2024,GLOBOCAN 2024,2024
POL,incidence,BRAIN_CNS,"Brain, central nervous system",Mózg i ośrodkowy układ nerwowy,3831.0,14,iarc_globocan_2024,GLOBOCAN 2024,2024
POL,incidence,CERVIX,Cervix uteri,Szyjka macicy,3318.0,15,iarc_globocan_2024,GLOBOCAN 2024,2024
POL,incidence,MELANOMA,Melanoma of skin,Czerniak skóry,3315.0,16,iarc_globocan_2024,GLOBOCAN 2024,2024
POL,incidence,UNSPECIFIED,Unspecified sites,Nowotwory o nieokreślonym umiejscowieniu,3251.0,17,iarc_globocan_2024,GLOBOCAN 2024,2024
POL,incidence,LARYNX,Larynx,Krtań,3133.0,18,iarc_globocan_2024,GLOBOCAN 2024,2024
POL,incidence,LIP_ORAL,"Lip, oral cavity",Warga i jama ustna,2894.0,19,iarc_globocan_2024,GLOBOCAN 2024,2024
POL,incidence,THYROID,Thyroid,Tarczyca,2644.0,20,iarc_globocan_2024,GLOBOCAN 2024,2024
POL,incidence,LIVER,Liver and intrahepatic bile ducts,Wątroba i wewnątrzwątrobowe drogi żółciowe,2607.0,21,iarc_globocan_2024,GLOBOCAN 2024,2024
POL,incidence,MYELOMA,Multiple myeloma,Szpiczak mnogi,2399.0,22,iarc_globocan_2024,GLOBOCAN 2024,2024
POL,incidence,OESOPHAGUS,Oesophagus,Przełyk,1969.0,23,iarc_globocan_2024,GLOBOCAN 2024,2024
POL,incidence,TESTIS,Testis,Jądro,1524.0,24,iarc_globocan_2024,GLOBOCAN 2024,2024
POL,incidence,OROPHARYNX,Oropharynx,Część ustna gardła,1357.0,25,iarc_globocan_2024,GLOBOCAN 2024,2024
POL,incidence,GALLBLADDER,Gallbladder,Pęcherzyk żółciowy,1094.0,26,iarc_globocan_2024,GLOBOCAN 2024,2024
POL,incidence,HYPOPHARYNX,Hypopharynx,Część krtaniowa gardła,832.0,27,iarc_globocan_2024,GLOBOCAN 2024,2024
POL,incidence,HODGKIN,Hodgkin lymphoma,Chłoniak Hodgkina,815.0,28,iarc_globocan_2024,GLOBOCAN 2024,2024
POL,incidence,VULVA,Vulva,Srom,734.0,29,iarc_globocan_2024,GLOBOCAN 2024,2024
POL,incidence,SALIVARY,Salivary glands,Ślinianki,587.0,30,iarc_globocan_2024,GLOBOCAN 2024,2024
POL,incidence,MESOTHELIOMA,Mesothelioma,Międzybłoniak,415.0,31,iarc_globocan_2024,GLOBOCAN 2024,2024
POL,incidence,PENIS,Penis,Prącie,352.0,32,iarc_globocan_2024,GLOBOCAN 2024,2024
POL,incidence,NASOPHARYNX,Nasopharynx,Część nosowa gardła,220.0,33,iarc_globocan_2024,GLOBOCAN 2024,2024
POL,incidence,VAGINA,Vagina,Pochwa,137.0,34,iarc_globocan_2024,GLOBOCAN 2024,2024
POL,incidence,KAPOSI,Kaposi sarcoma,Mięsak Kaposiego,43.0,35,iarc_globocan_2024,GLOBOCAN 2024,2024
POL,mortality,LUNG,"Trachea, bronchus and lung","Tchawica, oskrzela i płuco",26050.0,1,iarc_globocan_2024,GLOBOCAN 2024,2024
POL,mortality,COLORECTUM,Colorectum,Jelito grube i odbytnica,14670.0,2,iarc_globocan_2024,GLOBOCAN 2024,2024
POL,mortality,BREAST,Breast,Pierś,7664.0,3,iarc_globocan_2024,GLOBOCAN 2024,2024
POL,mortality,PROSTATE,Prostate,Gruczoł krokowy,6716.0,4,iarc_globocan_2024,GLOBOCAN 2024,2024
POL,mortality,PANCREAS,Pancreas,Trzustka,5726.0,5,iarc_globocan_2024,GLOBOCAN 2024,2024
POL,mortality,STOMACH,Stomach,Żołądek,5423.0,6,iarc_globocan_2024,GLOBOCAN 2024,2024
POL,mortality,UNSPECIFIED,Unspecified sites,Nowotwory o nieokreślonym umiejscowieniu,4780.0,7,iarc_globocan_2024,GLOBOCAN 2024,2024
POL,mortality,OTHER,Other specified cancers,Inne określone nowotwory,4753.0,8,iarc_globocan_2024,GLOBOCAN 2024,2024
POL,mortality,BLADDER,Bladder,Pęcherz moczowy,4721.0,9,iarc_globocan_2024,GLOBOCAN 2024,2024
POL,mortality,BRAIN_CNS,"Brain, central nervous system",Mózg i ośrodkowy układ nerwowy,3440.0,10,iarc_globocan_2024,GLOBOCAN 2024,2024
POL,mortality,LEUKAEMIA,Leukaemia,Białaczka,3112.0,11,iarc_globocan_2024,GLOBOCAN 2024,2024
POL,mortality,OVARY,Ovary,Jajnik,3084.0,12,iarc_globocan_2024,GLOBOCAN 2024,2024
POL,mortality,KIDNEY,Kidney,Nerka,2752.0,13,iarc_globocan_2024,GLOBOCAN 2024,2024
POL,mortality,LIVER,Liver and intrahepatic bile ducts,Wątroba i wewnątrzwątrobowe drogi żółciowe,2472.0,14,iarc_globocan_2024,GLOBOCAN 2024,2024
POL,mortality,CORPUS_UTERI,Corpus uteri,Trzon macicy,2224.0,15,iarc_globocan_2024,GLOBOCAN 2024,2024
POL,mortality,NHL,Non-Hodgkin lymphoma,Chłoniak nieziarniczy,1952.0,16,iarc_globocan_2024,GLOBOCAN 2024,2024
POL,mortality,OESOPHAGUS,Oesophagus,Przełyk,1844.0,17,iarc_globocan_2024,GLOBOCAN 2024,2024
POL,mortality,CERVIX,Cervix uteri,Szyjka macicy,1768.0,18,iarc_globocan_2024,GLOBOCAN 2024,2024
POL,mortality,LIP_ORAL,"Lip, oral cavity",Warga i jama ustna,1759.0,19,iarc_globocan_2024,GLOBOCAN 2024,2024
POL,mortality,MELANOMA,Melanoma of skin,Czerniak skóry,1643.0,20,iarc_globocan_2024,GLOBOCAN 2024,2024
POL,mortality,LARYNX,Larynx,Krtań,1639.0,21,iarc_globocan_2024,GLOBOCAN 2024,2024
POL,mortality,MYELOMA,Multiple myeloma,Szpiczak mnogi,1626.0,22,iarc_globocan_2024,GLOBOCAN 2024,2024
POL,mortality,OROPHARYNX,Oropharynx,Część ustna gardła,883.0,23,iarc_globocan_2024,GLOBOCAN 2024,2024
