geography_code,geography_name,cancer_code,cancer_label_en,cancer_label_pl,measure,start_year,end_year,start_value,end_value,absolute_change,percent_change,cagr_percent,direction,scenario,projection_base_year,source_id,source_version,evidence_type,metric,caution
ESP,Spain,GALLBLADDER,Gallbladder,Pęcherzyk żółciowy,incidence,2024,2050,746.0,1125.0,379.0,50.80428954423593,1.5925976794901597,increase,demographic_projection,2024,iarc_cancer_tomorrow,GLOBOCAN 2024,projected,number,"Demographic projection, not an observed forecast; baseline rates are held constant unless explicitly adjusted."
ESP,Spain,GALLBLADDER,Gallbladder,Pęcherzyk żółciowy,mortality,2024,2050,432.0,715.0,283.0,65.50925925925925,1.9568107525876233,increase,demographic_projection,2024,iarc_cancer_tomorrow,GLOBOCAN 2024,projected,number,"Demographic projection, not an observed forecast; baseline rates are held constant unless explicitly adjusted."
ESP,Spain,HODGKIN,Hodgkin lymphoma,Chłoniak Hodgkina,incidence,2024,2050,1310.0,1260.0,-50.0,-3.816793893129771,-0.14956272120125735,decrease,demographic_projection,2024,iarc_cancer_tomorrow,GLOBOCAN 2024,projected,number,"Demographic projection, not an observed forecast; baseline rates are held constant unless explicitly adjusted."
ESP,Spain,HODGKIN,Hodgkin lymphoma,Chłoniak Hodgkina,mortality,2024,2050,223.0,327.0,104.0,46.63677130044843,1.4831542508459972,increase,demographic_projection,2024,iarc_cancer_tomorrow,GLOBOCAN 2024,projected,number,"Demographic projection, not an observed forecast; baseline rates are held constant unless explicitly adjusted."
ESP,Spain,HYPOPHARYNX,Hypopharynx,Część krtaniowa gardła,incidence,2024,2050,793.0,945.0,152.0,19.167717528373267,0.6767477578508263,increase,demographic_projection,2024,iarc_cancer_tomorrow,GLOBOCAN 2024,projected,number,"Demographic projection, not an observed forecast; baseline rates are held constant unless explicitly adjusted."
ESP,Spain,HYPOPHARYNX,Hypopharynx,Część krtaniowa gardła,mortality,2024,2050,313.0,397.0,84.0,26.837060702875398,0.9185510621490867,increase,demographic_projection,2024,iarc_cancer_tomorrow,GLOBOCAN 2024,projected,number,"Demographic projection, not an observed forecast; baseline rates are held constant unless explicitly adjusted."
ESP,Spain,KAPOSI,Kaposi sarcoma,Mięsak Kaposiego,incidence,2024,2050,275.0,343.0,68.0,24.727272727272727,0.8534650746250927,increase,demographic_projection,2024,iarc_cancer_tomorrow,GLOBOCAN 2024,projected,number,"Demographic projection, not an observed forecast; baseline rates are held constant unless explicitly adjusted."
ESP,Spain,KAPOSI,Kaposi sarcoma,Mięsak Kaposiego,mortality,2024,2050,31.0,52.0,21.0,67.74193548387096,2.0093695398603506,increase,demographic_projection,2024,iarc_cancer_tomorrow,GLOBOCAN 2024,projected,number,"Demographic projection, not an observed forecast; baseline rates are held constant unless explicitly adjusted."
ESP,Spain,KIDNEY,Kidney,Nerka,incidence,2024,2050,8089.0,10160.0,2071.0,25.60267029299048,0.880598223012452,increase,demographic_projection,2024,iarc_cancer_tomorrow,GLOBOCAN 2024,projected,number,"Demographic projection, not an observed forecast; baseline rates are held constant unless explicitly adjusted."
ESP,Spain,KIDNEY,Kidney,Nerka,mortality,2024,2050,2827.0,4397.0,1570.0,55.535903784931016,1.7133836921530365,increase,demographic_projection,2024,iarc_cancer_tomorrow,GLOBOCAN 2024,projected,number,"Demographic projection, not an observed forecast; baseline rates are held constant unless explicitly adjusted."
ESP,Spain,LARYNX,Larynx,Krtań,incidence,2024,2050,3142.0,3903.0,761.0,24.220241884150223,0.8376656731041265,increase,demographic_projection,2024,iarc_cancer_tomorrow,GLOBOCAN 2024,projected,number,"Demographic projection, not an observed forecast; baseline rates are held constant unless explicitly adjusted."
ESP,Spain,LARYNX,Larynx,Krtań,mortality,2024,2050,1288.0,1866.0,578.0,44.87577639751553,1.4360070588878004,increase,demographic_projection,2024,iarc_cancer_tomorrow,GLOBOCAN 2024,projected,number,"Demographic projection, not an observed forecast; baseline rates are held constant unless explicitly adjusted."
ESP,Spain,LEUKAEMIA,Leukaemia,Białaczka,incidence,2024,2050,5701.0,8121.0,2420.0,42.44869321171724,1.3701154553851014,increase,demographic_projection,2024,iarc_cancer_tomorrow,GLOBOCAN 2024,projected,number,"Demographic projection, not an observed forecast; baseline rates are held constant unless explicitly adjusted."
ESP,Spain,LEUKAEMIA,Leukaemia,Białaczka,mortality,2024,2050,3451.0,5724.0,2273.0,65.8649666763257,1.9652298431603654,increase,demographic_projection,2024,iarc_cancer_tomorrow,GLOBOCAN 2024,projected,number,"Demographic projection, not an observed forecast; baseline rates are held constant unless explicitly adjusted."
ESP,Spain,LIP_ORAL,"Lip, oral cavity",Warga i jama ustna,incidence,2024,2050,4455.0,5934.0,1479.0,33.1986531986532,1.108683385069531,increase,demographic_projection,2024,iarc_cancer_tomorrow,GLOBOCAN 2024,projected,number,"Demographic projection, not an observed forecast; baseline rates are held constant unless explicitly adjusted."
ESP,Spain,LIP_ORAL,"Lip, oral cavity",Warga i jama ustna,mortality,2024,2050,1283.0,1857.0,574.0,44.738893219017925,1.432319232600876,increase,demographic_projection,2024,iarc_cancer_tomorrow,GLOBOCAN 2024,projected,number,"Demographic projection, not an observed forecast; baseline rates are held constant unless explicitly adjusted."
ESP,Spain,LIVER,Liver and intrahepatic bile ducts,Wątroba i wewnątrzwątrobowe drogi żółciowe,incidence,2024,2050,6725.0,8926.0,2201.0,32.72862453531599,1.0949373487598946,increase,demographic_projection,2024,iarc_cancer_tomorrow,GLOBOCAN 2024,projected,number,"Demographic projection, not an observed forecast; baseline rates are held constant unless explicitly adjusted."
ESP,Spain,LIVER,Liver and intrahepatic bile ducts,Wątroba i wewnątrzwątrobowe drogi żółciowe,mortality,2024,2050,5938.0,8837.0,2899.0,48.82115190299764,1.540885996541319,increase,demographic_projection,2024,iarc_cancer_tomorrow,GLOBOCAN 2024,projected,number,"Demographic projection, not an observed forecast; baseline rates are held constant unless explicitly adjusted."
ESP,Spain,LUNG,"Trachea, bronchus and lung","Tchawica, oskrzela i płuco",incidence,2024,2050,28988.0,39298.0,10310.0,35.5664412860494,1.1772280211079789,increase,demographic_projection,2024,iarc_cancer_tomorrow,GLOBOCAN 2024,projected,number,"Demographic projection, not an observed forecast; baseline rates are held constant unless explicitly adjusted."
ESP,Spain,LUNG,"Trachea, bronchus and lung","Tchawica, oskrzela i płuco",mortality,2024,2050,22728.0,32861.0,10133.0,44.58377331925378,1.4281360276221955,increase,demographic_projection,2024,iarc_cancer_tomorrow,GLOBOCAN 2024,projected,number,"Demographic projection, not an observed forecast; baseline rates are held constant unless explicitly adjusted."
ESP,Spain,MELANOMA,Melanoma of skin,Czerniak skóry,incidence,2024,2050,6201.0,7498.0,1297.0,20.915981293339783,0.7331581899987061,increase,demographic_projection,2024,iarc_cancer_tomorrow,GLOBOCAN 2024,projected,number,"Demographic projection, not an observed forecast; baseline rates are held constant unless explicitly adjusted."
ESP,Spain,MELANOMA,Melanoma of skin,Czerniak skóry,mortality,2024,2050,1118.0,1680.0,562.0,50.268336314847936,1.5786871052378748,increase,demographic_projection,2024,iarc_cancer_tomorrow,GLOBOCAN 2024,projected,number,"Demographic projection, not an observed forecast; baseline rates are held constant unless explicitly adjusted."
ESP,Spain,MESOTHELIOMA,Mesothelioma,Międzybłoniak,incidence,2024,2050,543.0,855.0,312.0,57.4585635359116,1.7614575083742867,increase,demographic_projection,2024,iarc_cancer_tomorrow,GLOBOCAN 2024,projected,number,"Demographic projection, not an observed forecast; baseline rates are held constant unless explicitly adjusted."
ESP,Spain,MESOTHELIOMA,Mesothelioma,Międzybłoniak,mortality,2024,2050,488.0,787.0,299.0,61.270491803278695,1.855123844970752,increase,demographic_projection,2024,iarc_cancer_tomorrow,GLOBOCAN 2024,projected,number,"Demographic projection, not an observed forecast; baseline rates are held constant unless explicitly adjusted."
ESP,Spain,MYELOMA,Multiple myeloma,Szpiczak mnogi,incidence,2024,2050,3075.0,4528.0,1453.0,47.2520325203252,1.4994984148045676,increase,demographic_projection,2024,iarc_cancer_tomorrow,GLOBOCAN 2024,projected,number,"Demographic projection, not an observed forecast; baseline rates are held constant unless explicitly adjusted."
ESP,Spain,MYELOMA,Multiple myeloma,Szpiczak mnogi,mortality,2024,2050,1910.0,3246.0,1336.0,69.94764397905759,2.0606370769666205,increase,demographic_projection,2024,iarc_cancer_tomorrow,GLOBOCAN 2024,projected,number,"Demographic projection, not an observed forecast; baseline rates are held constant unless explicitly adjusted."
ESP,Spain,NASOPHARYNX,Nasopharynx,Część nosowa gardła,incidence,2024,2050,530.0,533.0,3.0,0.5660377358490566,0.021711655175971067,increase,demographic_projection,2024,iarc_cancer_tomorrow,GLOBOCAN 2024,projected,number,"Demographic projection, not an observed forecast; baseline rates are held constant unless explicitly adjusted."
ESP,Spain,NASOPHARYNX,Nasopharynx,Część nosowa gardła,mortality,2024,2050,235.0,297.0,62.0,26.382978723404253,0.9046312183629279,increase,demographic_projection,2024,iarc_cancer_tomorrow,GLOBOCAN 2024,projected,number,"Demographic projection, not an observed forecast; baseline rates are held constant unless explicitly adjusted."
ESP,Spain,NHL,Non-Hodgkin lymphoma,Chłoniak nieziarniczy,incidence,2024,2050,9183.0,11542.0,2359.0,25.68877273222259,0.8832571584465931,increase,demographic_projection,2024,iarc_cancer_tomorrow,GLOBOCAN 2024,projected,number,"Demographic projection, not an observed forecast; baseline rates are held constant unless explicitly adjusted."
ESP,Spain,NHL,Non-Hodgkin lymphoma,Chłoniak nieziarniczy,mortality,2024,2050,3057.0,4926.0,1869.0,61.13837095191364,1.8519131643994768,increase,demographic_projection,2024,iarc_cancer_tomorrow,GLOBOCAN 2024,projected,number,"Demographic projection, not an observed forecast; baseline rates are held constant unless explicitly adjusted."
ESP,Spain,NMSC,Non-melanoma skin cancer,Nieczerniakowy rak skóry,incidence,2024,2050,9904.0,16813.0,6909.0,69.75969305331179,2.0562935225423074,increase,demographic_projection,2024,iarc_cancer_tomorrow,GLOBOCAN 2024,projected,number,"Demographic projection, not an observed forecast; baseline rates are held constant unless explicitly adjusted."
ESP,Spain,NMSC,Non-melanoma skin cancer,Nieczerniakowy rak skóry,mortality,2024,2050,812.0,1589.0,777.0,95.6896551724138,2.6157795578977794,increase,demographic_projection,2024,iarc_cancer_tomorrow,GLOBOCAN 2024,projected,number,"Demographic projection, not an observed forecast; baseline rates are held constant unless explicitly adjusted."
ESP,Spain,OESOPHAGUS,Oesophagus,Przełyk,incidence,2024,2050,2274.0,2968.0,694.0,30.51890941072999,1.0296802103889613,increase,demographic_projection,2024,iarc_cancer_tomorrow,GLOBOCAN 2024,projected,number,"Demographic projection, not an observed forecast; baseline rates are held constant unless explicitly adjusted."
ESP,Spain,OESOPHAGUS,Oesophagus,Przełyk,mortality,2024,2050,2002.0,2758.0,756.0,37.76223776223776,1.2397726252164842,increase,demographic_projection,2024,iarc_cancer_tomorrow,GLOBOCAN 2024,projected,number,"Demographic projection, not an observed forecast; baseline rates are held constant unless explicitly adjusted."
ESP,Spain,OROPHARYNX,Oropharynx,Część ustna gardła,incidence,2024,2050,1235.0,1344.0,109.0,8.82591093117409,0.32583458296764345,increase,demographic_projection,2024,iarc_cancer_tomorrow,GLOBOCAN 2024,projected,number,"Demographic projection, not an observed forecast; baseline rates are held constant unless explicitly adjusted."
ESP,Spain,OROPHARYNX,Oropharynx,Część ustna gardła,mortality,2024,2050,580.0,705.0,125.0,21.551724137931032,0.7534771496805703,increase,demographic_projection,2024,iarc_cancer_tomorrow,GLOBOCAN 2024,projected,number,"Demographic projection, not an observed forecast; baseline rates are held constant unless explicitly adjusted."
ESP,Spain,OTHER,Other specified cancers,Inne określone nowotwory,incidence,2024,2050,5805.0,7500.0,1695.0,29.198966408268735,0.9901910580449647,increase,demographic_projection,2024,iarc_cancer_tomorrow,GLOBOCAN 2024,projected,number,"Demographic projection, not an observed forecast; baseline rates are held constant unless explicitly adjusted."
ESP,Spain,OTHER,Other specified cancers,Inne określone nowotwory,mortality,2024,2050,3404.0,5123.0,1719.0,50.4994124559342,1.5846904875715717,increase,demographic_projection,2024,iarc_cancer_tomorrow,GLOBOCAN 2024,projected,number,"Demographic projection, not an observed forecast; baseline rates are held constant unless explicitly adjusted."
ESP,Spain,OVARY,Ovary,Jajnik,incidence,2024,2050,3759.0,4243.0,484.0,12.875764831072093,0.46692363637359513,increase,demographic_projection,2024,iarc_cancer_tomorrow,GLOBOCAN 2024,projected,number,"Demographic projection, not an observed forecast; baseline rates are held constant unless explicitly adjusted."
ESP,Spain,OVARY,Ovary,Jajnik,mortality,2024,2050,2263.0,2985.0,722.0,31.904551480335837,1.0707238878283176,increase,demographic_projection,2024,iarc_cancer_tomorrow,GLOBOCAN 2024,projected,number,"Demographic projection, not an observed forecast; baseline rates are held constant unless explicitly adjusted."
